PeakID	Annotation
1-70774	promoter
1-133386	enhancer
1-68836	promoter
1-141728	promoter
1-21340	promoter
1-130934	enhancer
1-138516	promoter
1-91603	enhancer
1-44400	enhancer
1-142876	promoter
1-22420	promoter
1-3355	promoter
1-42989	enhancer
1-128012	enhancer
1-111533	enhancer
1-4666	enhancer
1-69572	promoter
1-85248	enhancer
1-117216	enhancer
1-117213	promoter
1-129222	enhancer
1-56901	enhancer
1-58027	promoter
1-56762	enhancer
1-96113	promoter
1-89944	promoter
1-20940	promoter
1-147212	enhancer
1-32299	promoter
1-68684	promoter
1-63743	promoter
1-137495	enhancer
1-121713	enhancer
1-21535	enhancer
1-27253	promoter
1-49789	promoter
1-120950	enhancer
1-113252	promoter
1-79575	promoter
1-44685	promoter
1-85256	promoter
1-146960	promoter
1-140839	enhancer
1-52996	promoter
1-15306	promoter
1-94528	promoter
1-5164	enhancer
1-9769	promoter
1-137177	enhancer
1-133342	enhancer
1-121044	enhancer
1-50077	promoter
1-25899	promoter
1-140150	promoter
1-138314	enhancer
1-142116	promoter
1-62322	enhancer
1-97150	promoter
1-58775	enhancer
1-150100	promoter
1-21846	promoter
1-43075	enhancer
1-51861	promoter
1-86224	promoter
1-61686	enhancer
1-150263	enhancer
1-67513	enhancer
1-26513	enhancer
1-65083	promoter
1-87036	promoter
1-39254	promoter
1-130910	enhancer
1-4562	promoter
1-113587	promoter
1-119248	promoter
1-16216	enhancer
1-72737	enhancer
1-116324	promoter
1-33000	promoter
1-94008	enhancer
1-101275	promoter
1-144257	promoter
1-36783	promoter
1-33172	promoter
1-26922	promoter
1-37558	promoter
1-70289	promoter
1-73150	promoter
1-116181	enhancer
1-131801	enhancer
1-92940	promoter
1-135304	promoter
1-118130	promoter
1-13549	enhancer
1-76067	enhancer
1-117489	promoter
1-24530	promoter
1-26334	promoter
1-117645	promoter
1-42718	promoter
1-71551	promoter
1-131354	enhancer
1-3103	promoter
1-466	enhancer
1-114613	promoter
1-37344	enhancer
1-83685	promoter
1-103549	promoter
1-136593	promoter
1-62224	enhancer
1-90277	enhancer
1-91976	enhancer
1-65929	enhancer
1-124012	enhancer
1-70680	promoter
1-125942	enhancer
1-104667	enhancer
1-128346	enhancer
1-117611	promoter
1-125466	enhancer
1-56487	promoter
1-78700	enhancer
1-7803	promoter
1-123868	enhancer
1-132318	enhancer
1-10443	promoter
1-77945	promoter
1-70910	promoter
1-121664	promoter
1-149251	promoter
1-109617	promoter
1-90273	enhancer
1-148057	promoter
1-49974	promoter
1-26512	enhancer
1-61170	promoter
1-140938	promoter
1-105829	enhancer
1-108581	promoter
1-82900	enhancer
1-13044	promoter
1-40847	promoter
1-92999	enhancer
1-88270	enhancer
1-92957	enhancer
1-71040	promoter
1-149365	promoter
1-54211	promoter
1-47432	promoter
1-89834	promoter
1-5731	promoter
1-123404	enhancer
1-73885	enhancer
1-145711	enhancer
1-115132	promoter
1-119974	enhancer
1-1390	enhancer
1-29212	promoter
1-118100	enhancer
1-81852	promoter
1-53518	enhancer
1-100334	promoter
1-26489	promoter
1-146143	promoter
1-28116	promoter
1-64707	enhancer
1-110705	promoter
1-140527	enhancer
1-138141	enhancer
1-129440	promoter
1-54738	promoter
1-35523	enhancer
1-12501	enhancer
1-97835	promoter
1-135953	promoter
1-12885	enhancer
1-104158	enhancer
1-4209	enhancer
1-62220	enhancer
1-67713	promoter
1-83727	promoter
1-83205	promoter
1-27333	enhancer
1-76328	promoter
1-89207	enhancer
1-1913	promoter
1-24166	enhancer
1-106025	enhancer
1-136110	enhancer
1-136252	enhancer
1-45921	promoter
1-52028	promoter
1-14945	enhancer
1-59232	promoter
1-135477	promoter
1-41945	promoter
1-56033	promoter
1-71104	promoter
1-136279	promoter
1-123155	promoter
1-126152	promoter
1-125231	enhancer
1-82250	enhancer
1-144387	enhancer
1-53314	enhancer
1-106373	enhancer
1-109226	promoter
1-30581	enhancer
1-22597	promoter
1-131745	enhancer
1-128110	enhancer
1-297	promoter
1-87148	promoter
1-140538	enhancer
1-46460	promoter
1-67671	promoter
1-48289	enhancer
1-60849	enhancer
1-75095	promoter
1-9524	enhancer
1-15364	promoter
1-24262	enhancer
1-27335	enhancer
1-9136	promoter
1-113474	promoter
1-132229	enhancer
1-75049	enhancer
1-56375	promoter
1-59394	enhancer
1-132630	promoter
1-70886	enhancer
1-110543	enhancer
1-75440	promoter
1-131506	promoter
1-129707	promoter
1-81190	enhancer
1-50527	promoter
1-124387	enhancer
1-81586	enhancer
1-130086	enhancer
1-134908	enhancer
1-111179	enhancer
1-131736	promoter
1-9048	enhancer
1-24895	enhancer
1-60245	enhancer
1-31182	enhancer
1-138319	enhancer
1-148224	promoter
1-34764	promoter
1-140372	promoter
1-87779	enhancer
1-139482	promoter
1-71210	promoter
1-39416	promoter
1-112905	promoter
1-23578	enhancer
1-97927	enhancer
1-26533	promoter
1-52226	promoter
1-73053	promoter
1-12065	enhancer
1-51799	enhancer
1-68133	enhancer
1-65382	promoter
1-76158	promoter
1-6056	enhancer
1-112946	promoter
1-101238	enhancer
1-48170	promoter
1-100740	promoter
1-130528	enhancer
1-37370	promoter
1-31462	promoter
1-138028	enhancer
1-116268	enhancer
1-55125	enhancer
1-38082	enhancer
1-20081	promoter
1-132101	promoter
1-134305	enhancer
1-90722	promoter
1-81217	enhancer
1-83152	promoter
1-65301	promoter
1-4596	enhancer
1-96163	enhancer
1-100944	enhancer
1-100193	promoter
1-120905	promoter
1-75106	promoter
1-112747	enhancer
1-112662	enhancer
1-46708	promoter
1-5466	promoter
1-145691	promoter
1-87873	promoter
1-32808	promoter
1-47333	enhancer
1-61590	promoter
1-119191	enhancer
1-56197	promoter
1-26307	promoter
1-43112	promoter
1-46872	promoter
1-85374	enhancer
1-16728	enhancer
1-123960	enhancer
1-65345	enhancer
1-86151	promoter
1-93243	promoter
1-87700	promoter
1-39855	promoter
1-128038	promoter
1-72486	enhancer
